smiles,label,group,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
NC1=NC(NC2=CC=C(C=C2)[As]=O)=NC(N)=N1,554,train,-1.086903691,1.203059316,-1.104820967,-1.207350731,-0.226686239,0.129725456,-1.881606936,-0.603900552,-0.014039783,-3.758539915,1.870811343,1.145876527,-0.139521226,-0.633056641,-0.668507934,0.828827322,2.323783875,0.003505662,-0.671652138,-0.511676252,-0.136127099,-2.024746656,1.527406096,-1.336685181,0.352881402,-1.32288456,-0.24910447,-0.146042332,0.597535074,-0.86554873,2.027757406,-0.772651792,-0.519107699,-1.145470977,1.112175226,3.097817898,-1.280852795,1.739370465,-2.051261902,-0.864440799,0.481755078,-1.099523783,-1.588044167,0.746545076,-0.488344848,0.811197579,-1.045343995,-0.306262851,0.546597779,-0.790181696,-1.913145185,0.637099683,0.65812254,1.072009921,1.805388451,0.996108055,1.456497908,-1.138341784,-0.471409649,0.319503665,-0.190847203,1.344892979,1.221048474,2.220100164
NC1=CC=C(C=C1)[As]=O,129,train,-1.354980707,1.803196192,-2.113620758,0.497632027,-0.54818964,-0.077856719,-1.454964757,-0.542497098,-0.547721744,-1.80363071,0.960786402,-0.955155551,1.249030352,-2.086809158,-0.79593277,-0.136252359,1.186342835,-1.455941916,-0.691816092,0.741155982,0.269948661,-2.412352562,0.652476192,-1.058648348,-0.565315306,-0.804255605,0.412510246,-0.108790912,1.362688661,-2.34176898,0.444363326,-0.84786886,0.581691444,-1.919518948,1.158655524,2.897195578,-2.173440456,-1.007484794,-0.549318969,-1.402496576,-0.088191435,0.358095288,-0.439167529,-0.084792778,-1.161105633,1.284339666,-0.811554313,-0.137937188,1.1626333,0.052127369,-0.487074435,0.684899151,0.236879468,-0.395086408,0.121284887,0.369336516,0.420642734,0.042922072,1.083638549,1.118992448,-1.425491214,-0.551012516,1.254345417,0.156213552
O[As](O)(O)=O,409,train,-1.954441309,0.88421762,-1.343971491,-0.625053883,-0.639765501,-0.409271896,-1.595615745,-1.225503206,-2.667690516,-0.792246342,0.363902211,-2.864580154,1.379007578,-2.561451912,-0.44745326,0.446446419,0.969127357,-1.250432134,0.035480991,0.156456232,3.365137339,-2.480376959,-0.119890876,-0.902663529,-0.512028933,-2.087956905,-0.470721811,1.057282925,1.806854367,-1.979383707,1.314351678,-0.439206243,0.346862018,-1.018174648,1.014533639,1.585405111,0.124557719,-0.9285357,-0.803006411,-4.284630299,1.962761402,1.496655345,-1.481998205,-1.145912051,-1.357921958,1.940666556,0.495207727,-0.712434471,1.997300625,-0.581087351,-0.226105556,-0.091798693,-0.282810688,-0.926665664,-0.745230913,-0.723904729,1.607223034,-0.790219426,0.428070277,-0.547430515,-1.16831553,-2.343812943,-0.595083237,0.000633936
C[As](C)(C)=O,79,train,-1.754353881,1.226585627,-2.016302109,-1.194581509,-0.703942239,-1.629299998,-0.359220684,-0.011313677,-1.648908496,-0.338921756,-0.413878053,-2.586946011,1.073926687,-2.315367699,-0.996968865,0.022369057,1.064372301,-1.911980391,-0.146256611,1.260185599,2.77649641,-1.965729713,-0.309044302,-0.203607947,0.271113843,-0.090882167,-0.672308147,-0.640710354,0.784936249,-1.975182056,0.394064456,-1.779071331,1.050050139,-0.665189087,0.593507588,1.986303449,-1.193127394,-2.076000214,-0.57047981,-2.28495121,0.998639584,-0.018987406,-0.930776656,0.158900172,-0.730940163,1.780147195,0.54757154,-1.035876513,1.71279192,0.106873684,0.293658614,0.443879038,-0.449176401,0.094831035,0.692241251,0.806389391,0.352813005,0.437006176,-0.583443165,0.634063005,-2.10327363,-2.0461514,1.477091432,-0.108636484
O[As](O)(=O)C1=CC=C(C=C1)[N+]([O-])=O,499,train,-1.573676586,0.847885549,-1.593925118,0.276800692,-0.051704004,-0.115925252,-0.956186891,-1.250297546,-0.636618137,-2.065619469,0.294875443,-0.528898001,-0.032433134,-1.941252947,0.687978625,-0.36841023,1.315528512,0.176848024,-0.401249915,0.394829422,0.978528559,-1.198218346,0.597919166,-1.548891783,0.357014209,-2.363234997,-0.301029265,2.277915955,0.938358009,-2.777205467,0.928306937,-1.412636876,0.41248998,0.059830286,1.083274722,2.390919209,-1.610063672,-1.345178127,-1.081846237,-3.210980654,1.236975551,1.118831038,-1.875363111,-1.198294163,-2.008065224,0.590754211,-0.828220129,0.19587642,2.178539276,-0.490508109,-1.897439837,0.386439621,1.035009146,0.137989864,-1.041164756,0.324638605,1.234716296,-1.096116304,0.404292971,1.083411932,-0.573081374,-0.963811517,-0.361518621,0.850094855
C[As](I)I,83,train,-2.295064211,-1.854093075,-2.302844286,0.248180449,0.46823886,-0.492433369,-0.63081181,-0.657601535,-1.117490292,0.568284214,-0.408964515,-2.327470303,1.039216638,-3.309445858,-0.223426268,-0.84823519,3.847414255,-3.027302027,-0.522488117,1.423441887,3.49439311,-1.552227139,-0.559299469,0.018926125,-0.571647406,-2.661613703,-0.711543441,-0.441309631,0.051290926,-1.921025515,0.677585244,-1.735263944,1.435146689,0.849733949,0.28640449,2.231540203,-0.805440962,-1.50421989,-0.545489788,-3.657644033,2.141943932,2.004668951,-1.278982162,0.422285557,-1.708717823,1.778950214,2.353422165,-0.206766099,2.214032888,0.795410454,0.997371972,0.326805472,0.042792022,-1.143914223,-1.094707012,-1.370982766,2.72757411,1.332455993,0.10391707,0.494363457,-2.393988848,-1.573975205,-0.363126159,-0.855043292
NC1=NC(NC2=CC=C(C=C2)[As]3SCC(CO)S3)=NC(N)=N1,562,train,-1.37505734,0.215565994,-0.158568069,-0.936023772,-0.651205659,1.072796106,-0.961036086,-0.75116539,1.46104157,-2.430410862,1.837999463,1.725634933,-1.118521333,-0.720870256,-0.106612206,1.308710217,2.887894392,-0.231277853,-0.623223186,-0.971787155,-1.235721588,-1.224077702,-0.040788677,-1.693400502,1.542828321,-2.651972055,0.051332086,0.446018785,-1.086853862,1.075883627,2.067778826,-0.01404825,-0.507980943,1.89087069,0.338837713,2.088035345,-0.252489269,3.30828023,-1.030052543,0.152397782,0.782730639,-1.073492646,-2.412770271,0.392795503,-1.779163241,0.812697053,-1.017666578,-0.19590801,-0.713578582,-0.248052076,-2.451986074,-1.036619306,0.320696443,0.797857225,1.083714604,0.487712562,1.172138214,-0.823386431,1.237218738,-0.40617156,-0.260092467,1.1156106,0.221958801,1.99680686
NC1=CC=C(C=C1)[As](O)(O)=O,399,train,-2.200209141,1.06454432,-2.02878046,-0.304140747,-0.791773558,-0.18830125,-1.188420057,-1.057776332,-1.13908565,-1.771394491,0.076851964,-1.724428654,0.232076079,-1.916446567,0.374156386,0.33090198,0.775786817,-0.450068384,-0.838220656,0.228639051,0.276877791,-2.237551451,0.441227734,-1.248940825,0.350736797,-1.962285519,-0.327839971,1.080387831,1.652185321,-2.478481054,0.969921708,-1.129177213,0.044818468,-0.681306422,1.496076345,2.602712631,-1.782030225,-1.210266113,-0.560249388,-2.5815413,0.965803802,0.667527318,-1.101902723,-1.576193571,-2.438251734,1.460953474,-0.266045749,0.426682681,1.686961055,-0.408283651,-1.054792762,0.035081938,0.128269002,0.579967678,-0.77027601,0.362647861,0.402950376,-0.631311834,0.36729905,1.192369938,-0.226895183,-1.207892656,-0.09193024,0.862301886
C[As](O)(O)=O,376,train,-1.910737038,1.038140297,-1.716389179,-0.404193997,-1.056404233,-0.867395461,-1.360223293,-0.476665556,-2.107788086,-0.740101218,-0.015000885,-2.973556042,1.134080768,-2.246393919,-0.383497834,-0.694334686,0.452632159,-1.074468732,-0.16446197,0.876731098,1.794059396,-1.695794106,-0.327795506,-0.530353606,0.054382056,-1.458076596,-1.198963761,0.309486985,1.189508438,-1.798669696,0.895653069,-1.171308279,0.464704931,-0.941922128,0.883975148,1.630071402,-0.415955395,-1.43236351,-0.519890249,-3.580769062,1.554678917,0.915326953,-1.446296573,-0.77899915,-0.622487783,1.688152909,0.065876782,-0.668604016,1.755980253,-0.08566536,0.280459195,0.569553316,-0.387348115,0.101021916,-0.452344716,-0.036593601,1.008745551,-0.389903545,-0.56120944,-0.090072475,-1.054252625,-2.545539379,-0.275770545,-0.149508893
O[As](O)O,156,train,-1.733791709,0.790201843,-1.261915445,-1.441964269,-0.092895858,-0.152193651,-1.488494515,-0.822551608,-1.536498666,-0.920950115,0.214414775,-2.195866823,1.118673682,-2.160650015,-0.782946527,0.393128008,0.751988709,-1.586648941,-0.057464123,0.205723345,2.340084076,-2.923689365,-0.034448687,-0.669237971,-0.936989248,-2.323013306,-0.078020714,0.259548694,1.386973023,-2.643595934,1.566231489,0.28279388,0.886613607,-1.201966643,1.413683057,1.146427274,-0.873583436,-1.052304029,-0.123065464,-3.736234665,0.747984886,1.210413814,-0.824179351,-2.216238022,-0.19078055,2.104194403,0.499663115,-1.095929384,1.401995778,-0.948616982,0.007191052,0.518746495,-0.370150715,-1.930853605,-0.15266566,-0.920657218,1.680867553,-0.662173867,-0.127701744,0.564074159,-1.631919861,-2.284741163,-0.284349442,-0.338330388
