smiles,group,label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Nc1ccc(cc1)[As](=O)(O)O,train,399,-2747.67592,8.879432,144.738865,-2747.525,-2747.524056,-2747.575337,94.703,43.945,107.929,158.257,191.797,109.583,-0.21257,-0.0129,5.5836,0.4543,-3.0189,5.1293,0.195,0.8884,3.3369,1.161,0.63987079,0.74374612,0.64658047,0.49309835,1.185116884,1.049967158,0.71526568
C[As](=S)(O)C,train,301,-2787.647484,9.651968,88.658681,-2787.548616,-2787.547672,-2787.589612,62.041,27.867,88.271,132.976,157.369,86.985,-0.2183,0.01613,6.0273,-0.2885,-2.8694,6.3158,0.1583,0.6518,3.1809,0.716,0.52163127,0.5247276,0.47490882,0.22452724,0.855688262,0.855772605,0.49711707
[O-]CC[As+](C)(C)C ,train,338,-2507.301654,3.893336,118.27157,-2507.119099,-2507.118155,-2507.172775,114.555,39.555,114.958,144.75,192.21,123.559,-0.22099,0.05712,5.6763,-0.9634,-2.3565,6.6396,0.1506,0.4182,3.1079,0.271,0.17044618,-0.0911221,0.09247224,-0.39544114,-0.311741779,-0.168247809,0.10303388
C[As](I)I,train,83,-2871.532151,3.85826,199.938858,-2871.487168,-2871.486224,-2871.529324,28.227,19.818,90.711,106.171,138.72,109.85,-0.24008,-0.07674,6.1913,2.5006,-4.346,3.6907,0.271,2.5588,2.5884,0.489,0.36065517,0.31412896,0.35448002,0.26441437,0.288881638,0.27807412,0.28448962
O=[As]c1ccc(cc1)N,train,129,-2595.985683,9.922808,174.15139,-2595.866754,-2595.86581,-2595.909691,74.629,31.395,92.356,134.824,159.326,88.994,-0.20996,-0.08638,5.4628,2.7585,-4.1106,2.7043,0.3698,3.1241,3.4078,0.583,0.63987084,0.74374631,0.64658057,0.49309734,1.185117029,1.049966789,0.71526579
Oc1ccc(cc1)[As](=O)(O)O,train,498,-2767.538483,5.659282,134.396923,-2767.400439,-2767.399495,-2767.450465,86.624,42.621,107.277,149.659,184.881,94.407,-0.23791,-0.02091,6.2736,0.8249,-3.5492,5.4487,0.1835,1.156,2.6473,1.16,0.64887027,0.7330403,0.65141053,0.37896007,1.172795447,1.017305329,0.72385535
O[As](O)O,train,156,-2461.28452,2.763385,46.589008,-2461.238017,-2461.237073,-2461.275855,29.181,20.439,81.623,61.554,91.528,54.823,-0.27218,0.02241,7.1686,-0.0135,-3.5775,7.1822,0.1392,0.891,1.7149,0.988,0.51505644,0.47124895,0.4661015,0.54772874,0.618917912,0.596745117,0.57999633
O=[As]c1ccccc1,train,141,-2540.618735,5.709379,132.270485,-2540.517866,-2540.516921,-2540.558018,63.296,25.377,86.494,102.909,119.968,143.446,-0.23756,-0.09646,6.1389,3.0296,-4.5843,3.1093,0.3216,3.3795,2.6569,0.677,0.46903262,0.45315532,0.47792806,0.34525578,0.43203021,0.387703303,0.49713246
[O-][N+](=O)c1ccc(cc1)[As](=O)(O)O,train,499,-2896.811978,5.866543,153.795597,-2896.67429,-2896.673346,-2896.729165,86.4,46.745,117.481,167.183,201.78,139.174,-0.27874,-0.10639,7.3712,3.0043,-5.1878,4.3669,0.229,3.0814,1.5363,1.194,0.66880101,0.75138581,0.65584635,0.39150124,1.1809451,0.991161962,0.7452503
O=[As]c1ccc(cc1)Nc1nc(N)nc(n1)N,train,554,-2985.939275,8.420488,279.49053,-2985.733526,-2985.732582,-2985.793717,129.109,57.732,128.668,237.824,259.203,160.828,-0.21818,-0.09268,6.011,2.9238,-4.4674,3.0872,0.3239,3.2324,3.1843,0.63,0.43105933,0.40622024,0.44543794,0.29418874,0.397798249,0.34625536,0.45831829
[O-]C(=O)C[As+](C)(C)C,train,80,-2581.324929,4.130899,122.265044,-2581.162145,-2581.161201,-2581.212613,102.149,39.419,108.207,146.266,192.763,109.44,-0.22038,-0.00273,5.6802,0.1457,-2.9129,5.5345,0.1807,0.7666,3.1244,0.282,0.19014247,-0.04404376,0.10480485,-0.40586998,-0.252774852,-0.092247553,-0.092247553
