smiles,label,group,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
C[As](C)(O)=S,301,train,3.472,55.784,4.5,3.303,5.996,2,1.277,8.533,1.294,11.367,0,0,0,0,12.219,0,0,0,0,0,0,11.423,0,10.392,4.096,153.943,1,0.738,5,147.01,3.61,5.738,1.458,65.164,38.572,8.508,,8.508,,1.73,,-2.292,,0.878,27.292,154.066,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,32,0,0,0,0,0,38.13,0,0,0,0,0,0,0,0,0,4.096,22.612,0,0,0,11.423,0,0,0,0,0,0,0,10.392,16.315,0,0,0,0,11.423,0,0,20.23,8.508,-2.292,0,0,3.459,0,0,0,0,4.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C[As+](C)(C)CC[O-],338,train,3.154,46.532,5.914,5.27,7.146,3.061,2.447,9.403,2.718,13.267,0.762,3.96,0.274,1.423,13.551,5.107,0,6.607,0,5.209,0,0,0,17.134,0,164.018,1,0.518,7,150.976,18.142,7.518,2.736,6.518,48.184,9.988,,9.988,,0.135,,-1.257,,0.685,33.02,164.08,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,44,0,0,0,0,0,47.607,0,0,0,0,0,0,0,0,0,5.107,13.551,0,0,0,22.343,6.607,0,0,0,5.107,0,0,0,20.158,0,0,0,0,22.343,0,0,23.06,0,-1.257,0,10.945,6.739,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C[As](I)I,83,train,2.324,10.755,3.577,2.203,8.395,1.732,0.785,14.108,0.402,26.722,0,0,0,0,0,0,0,7.955,0,0,0,0,0,45.966,0,343.754,1,2.018,4,340.741,3.245,6.018,3.218,8.987,53.051,2.476,,2.476,,0.248,,-0.248,,1.974,39.658,343.765,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,0,53.921,0,0,0,0,0,0,0,0,0,0,48.21,0,0,0,5.711,0,0,0,0,0,0,0,40.255,7.955,0,0,0,0,5.711,0,0,0,0,4.952,0,0,2.286,0,0,0,0,-0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1=CC=C(C=C1)[As]=O,129,train,3.01,206.803,6.69,4.742,6.619,4.326,2.516,4.221,1.683,3.149,0.998,2.066,0.535,1.103,15.691,3.739,0,0,5.687,4.351,0,24.265,0,0,5.734,182.967,0,-0.622,9,176.994,129.225,6.498,2.787,1.649,59.974,10.296,,10.296,,0.716,,-0.885,,-0.056,36.929,183.042,2,2,0,0,0,1,0,1,2,1,3,0,1,0,0,0,46,0,0,0,0,0,59.468,0,0,0,0,0,0,0,0,1,3.739,25.73,0,0,0,0,5.734,24.265,0,0,10.085,5.687,0,0,15.691,3.739,0,0,24.265,0,0,0,43.09,11.171,-0.885,0,0,6.106,0,7.066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC1=CC=C(C=C1)[As](O)(O)=O,498,train,3.094,285.956,8.483,5.507,7.383,4.999,2.851,6.234,2.06,5.427,1.186,3.223,0.647,1.774,14.173,3.739,0,10.101,0,0,24.265,0,0,0,13.298,217.956,0,-0.702,11,210.984,230.735,8.396,2.736,2.116,66.11,10.618,,10.618,,0.002,,-4.736,,-1.047,38.619,218.04,3,4,0,0,0,1,0,1,2,3,5,0,1,0,0,0,60,0,0,0,0,0,65.576,0,0,0,0,0,0,0,0,1,17.037,18.524,0,0,0,0,0,24.265,0,5.75,4.351,0,5.75,0,27.47,3.739,0,0,24.265,0,0,0,77.76,27.931,-4.736,0,8.776,0,-0.002,4.927,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O[As](O)O,156,train,2.324,8,3.577,1.789,3.665,1.732,0.6,3.118,0.268,1.394,0,0,0,0,15.676,0,0,0,0,0,0,0,0,0,12.287,125.93,0,0.438,4,122.919,3.245,4.438,1.729,26.247,28.828,7.312,,7.312,,3.188,,-3.188,,-2.052,12.41,125.943,3,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,26,0,0,0,0,0,27.963,0,0,0,0,0,0,0,0,0,12.287,15.676,0,0,0,0,0,0,0,0,0,0,0,0,27.963,0,0,0,0,0,0,0,60.69,21.938,-3.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1=CC=CC=C1[As](O)(O)=O,429,train,3.253,306.451,8.483,5.637,7.513,5.016,2.922,6.305,2.103,5.397,1.251,3.422,0.753,2.203,14.173,3.739,0,10.039,0,0,12.133,12.133,0,0,13.925,216.972,0,-0.702,11,208.992,232.008,8.396,2.736,1.865,66.656,10.729,,10.729,,0.05,,-4.776,,-1.17,41.367,217.056,4,4,0,0,0,1,0,1,2,3,5,0,1,0,0,0,60,0,0,0,0,0,66.141,0,0,0,0,0,0,0,0,1,11.931,24.211,0,0,0,0,5.734,24.265,0,0,10.085,5.687,0,0,22.364,3.739,0,0,24.265,0,0,0,83.55,28.202,-4.776,0,0,5.482,0,5.988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O[As](O)(=O)C1=CC=C(C=C1)[N+]([O-])=O,499,train,3.08,367.116,10.06,6.323,8.2,5.91,3.216,6.599,2.318,5.684,1.397,3.434,0.769,1.896,19.096,13.854,0,10.039,0,24.265,0,0,0,0,8.191,246.946,0,-1.102,13,240.99,608.478,9.982,3.333,2.416,75.969,10.699,,10.699,,0.163,,-4.888,,-0.844,43.609,247.038,2,6,0,0,0,1,0,1,3,2,7,0,2,0,0,0,70,0,0,0,0,0,75.445,0,0,0,0,0,0,0,0,1,16.854,24.211,0,0,0,0,0,34.38,0,0,4.351,5.687,0,0,27.287,3.739,10.114,0,24.265,0,0,0,100.67,27.977,-4.888,9.55,10.178,-0.187,0,4.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1=NC(NC2=CC=C(C=C2)[As]=O)=NC(N)=N1,554,train,2.213,523.432,12.251,8.661,10.538,8.169,4.647,6.351,3.139,4.605,1.899,2.967,1.2,1.768,15.691,3.739,0,17.845,0,10.039,0,24.265,0,20.269,11.467,292.005,0,-2.012,17,283.062,7701.949,11.473,4.881,2.977,103.58,10.698,,10.698,,0.057,,-1.002,,-0.545,64.451,292.134,5,7,0,0,0,1,1,2,7,3,8,0,3,0,0,0,86,0,0,0,0,0,103.316,0,0,0,0,0,0,0,0,2,3.739,43.575,0,14.952,0,0,16.784,24.265,0,0,21.135,23.532,0,0,30.643,3.739,0,0,24.265,0,0,0,119.81,11.505,-1.002,11.42,2.923,11.636,0.389,7.088,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C[As+](C)(C)CC([O-])=O,80,train,3.551,93.092,6.784,5.471,7.347,3.417,2.42,9.376,2.82,13.094,0.603,3.136,0.387,2.012,19.52,9.901,0,0,5.209,0,0,0,17.134,0,0,177.998,0.8,0.028,8,166.975,23.005,8.028,2.54,6.028,52.345,9.947,,9.947,,0.304,,-1.677,,0.074,33.16,178.063,0,2,0,0,0,0,0,0,2,0,3,0,2,0,0,0,48,0,0,0,0,0,51.764,0,0,0,0,0,0,0,0,0,9.901,19.52,0,0,0,22.343,0,0,0,0,5.107,0,0,0,19.52,4.795,0,0,0,22.343,0,0,40.13,0,-1.677,9.947,10.251,6.107,-0.898,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
